Referencia,barcode,nombre,compra,venta,impuesto,categoria,modelo_funda,modelo_celular,color,inventario,Proveedores
case colors_Ip 7 / ip 8_rosa,100,case colors_Ip 7 / ip 8_rosa,,,000,Fundas,case colors,Ip 7 / ip 8,rosa,2,
holster_Ip 7 / ip 8_negro,101,holster_Ip 7 / ip 8_negro,,,000,Fundas,holster,Ip 7 / ip 8,negro,2,
guess_Ip 7 / ip 8_negro,102,guess_Ip 7 / ip 8_negro,,,000,Fundas,guess,Ip 7 / ip 8,negro,2,
calvinklein_Ip 7 / ip 8_negro,103,calvinklein_Ip 7 / ip 8_negro,,,000,Fundas,calvinklein,Ip 7 / ip 8,negro,2,
superstar_Ip 7 / ip 8_rosa,104,superstar_Ip 7 / ip 8_rosa,,,000,Fundas,superstar,Ip 7 / ip 8,rosa,1,
superstar_Ip 7 / ip 8_cafe,105,superstar_Ip 7 / ip 8_cafe,,,000,Fundas,superstar,Ip 7 / ip 8,cafe,1,
otter_Ip 7 / ip 8_morado,106,otter_Ip 7 / ip 8_morado,,,000,Fundas,otter,Ip 7 / ip 8,morado,1,
otter_Ip 7 / ip 8_negro,107,otter_Ip 7 / ip 8_negro,,,000,Fundas,otter,Ip 7 / ip 8,negro,1,
macaron matte_Ip 7 / ip 8_rosa,108,macaron matte_Ip 7 / ip 8_rosa,,,000,Fundas,macaron matte,Ip 7 / ip 8,rosa,1,
macaron matte_Ip 7 / ip 8_negro,109,macaron matte_Ip 7 / ip 8_negro,,,000,Fundas,macaron matte,Ip 7 / ip 8,negro,1,
guess_Ip 7p / ip 8p_blanco,110,guess_Ip 7p / ip 8p_blanco,,,000,Fundas,guess,Ip 7p / ip 8p,blanco,2,
calvinklein_Ip 7p / ip 8p_negro,111,calvinklein_Ip 7p / ip 8p_negro,,,000,Fundas,calvinklein,Ip 7p / ip 8p,negro,1,
otter_Ip 7p / ip 8p_morado,112,otter_Ip 7p / ip 8p_morado,,,000,Fundas,otter,Ip 7p / ip 8p,morado,1,
otter_Ip 7p / ip 8p_rosa,113,otter_Ip 7p / ip 8p_rosa,,,000,Fundas,otter,Ip 7p / ip 8p,rosa,1,
holster_Ip 7p / ip 8p_negro,114,holster_Ip 7p / ip 8p_negro,,,000,Fundas,holster,Ip 7p / ip 8p,negro,2,
superstar_Ip 7p / ip 8p_azul,115,superstar_Ip 7p / ip 8p_azul,,,000,Fundas,superstar,Ip 7p / ip 8p,azul,1,
macaron matte_Ip 7p / ip 8p_rosa,116,macaron matte_Ip 7p / ip 8p_rosa,,,000,Fundas,macaron matte,Ip 7p / ip 8p,rosa,1,
macaron matte_Ip 7p / ip 8p_negro,117,macaron matte_Ip 7p / ip 8p_negro,,,000,Fundas,macaron matte,Ip 7p / ip 8p,negro,1,
holster_ip x / ip xs_negro,118,holster_ip x / ip xs_negro,,,000,Fundas,holster,ip x / ip xs,negro,2,
magsafe transparente_ip x / ip xs_transparente,119,magsafe transparente_ip x / ip xs_transparente,,,000,Fundas,magsafe transparente,ip x / ip xs,transparente,3,
calvinklein_ip x / ip xs_negro,120,calvinklein_ip x / ip xs_negro,,,000,Fundas,calvinklein,ip x / ip xs,negro,2,
guess_ip x / ip xs_blanco,121,guess_ip x / ip xs_blanco,,,000,Fundas,guess,ip x / ip xs,blanco,2,
case colors_ip x / ip xs_rosa,122,case colors_ip x / ip xs_rosa,,,000,Fundas,case colors,ip x / ip xs,rosa,1,
macaron matte_ip x / ip xs_rosa,123,macaron matte_ip x / ip xs_rosa,,,000,Fundas,macaron matte,ip x / ip xs,rosa,1,
macaron matte_ip x / ip xs_negro,124,macaron matte_ip x / ip xs_negro,,,000,Fundas,macaron matte,ip x / ip xs,negro,1,
magnetica_ip x / ip xs_azul,125,magnetica_ip x / ip xs_azul,,,000,Fundas,magnetica,ip x / ip xs,azul,1,
holster_ip xr_negro,126,holster_ip xr_negro,,,000,Fundas,holster,ip xr,negro,2,
magsafe transparente_ip xr_transparente,127,magsafe transparente_ip xr_transparente,,,000,Fundas,magsafe transparente,ip xr,transparente,2,
case colors_ip xr_rosa,128,case colors_ip xr_rosa,,,000,Fundas,case colors,ip xr,rosa,1,
macaron matte_ip xr_rosa,129,macaron matte_ip xr_rosa,,,000,Fundas,macaron matte,ip xr,rosa,1,
calvinklein_ip xr_negro,130,calvinklein_ip xr_negro,,,000,Fundas,calvinklein,ip xr,negro,2,
guess_ip xr_blanco,131,guess_ip xr_blanco,,,000,Fundas,guess,ip xr,blanco,1,
superstar_ip xr_rosa,132,superstar_ip xr_rosa,,,000,Fundas,superstar,ip xr,rosa,1,
superstar_ip xr_cafe,133,superstar_ip xr_cafe,,,000,Fundas,superstar,ip xr,cafe,1,
holster_ip xsmax_negro,134,holster_ip xsmax_negro,,,000,Fundas,holster,ip xsmax,negro,2,
guess_ip xsmax_blanco,135,guess_ip xsmax_blanco,,,000,Fundas,guess,ip xsmax,blanco,1,
magnetica_ip xsmax_transparente,136,magnetica_ip xsmax_transparente,,,000,Fundas,magnetica,ip xsmax,transparente,1,
macaron matte_ip xsmax_negro,137,macaron matte_ip xsmax_negro,,,000,Fundas,macaron matte,ip xsmax,negro,1,
macaron matte_ip xsmax_rosa,138,macaron matte_ip xsmax_rosa,,,000,Fundas,macaron matte,ip xsmax,rosa,1,
calvinklein_ip xsmax_negro,139,calvinklein_ip xsmax_negro,,,000,Fundas,calvinklein,ip xsmax,negro,2,
alto impacto_ip xsmax_negro,140,alto impacto_ip xsmax_negro,,,000,Fundas,alto impacto,ip xsmax,negro,1,
magsafe transparente_Ip 11_transparente,141,magsafe transparente_Ip 11_transparente,,,000,Fundas,magsafe transparente,Ip 11,transparente,2,
otter_Ip 11_rosa,142,otter_Ip 11_rosa,,,000,Fundas,otter,Ip 11,rosa,2,
holster_Ip 11 _negro,143,holster_Ip 11 _negro,,,000,Fundas,holster,Ip 11 ,negro,2,
macaron matte_Ip 11_rosa,144,macaron matte_Ip 11_rosa,,,000,Fundas,macaron matte,Ip 11,rosa,1,
superstar_Ip 11_morado,145,superstar_Ip 11_morado,,,000,Fundas,superstar,Ip 11,morado,1,
superstar_Ip 11_azul,146,superstar_Ip 11_azul,,,000,Fundas,superstar,Ip 11,azul,0,
guess_Ip 11 pro_blanco,147,guess_Ip 11 pro_blanco,,,000,Fundas,guess,Ip 11 pro,blanco,2,
calvinklein_Ip 11 pro_negro,148,calvinklein_Ip 11 pro_negro,,,000,Fundas,calvinklein,Ip 11 pro,negro,2,
